,Número REDS,Qtde Veículos,Natureza Principal Completa,Ano Fato,Mês Fato Resumido,Mês Numérico Fato,Data Fato,Dia da Semana Fato,Horário Fato,Faixa 1 Hora Fato,Faixa 6 Horas Fato,Tipo Veículo,Alvo Corrigido,Situação Veículo,Causa Presumida,Descrição Meio Utilizado,Descrição Grupo Local Imediato,Descrição Local Imediato,Logradouro Ocorrência - Tipo,Bairro,Bairro Não Cadastrado,Bairro - FATO FINAL,Bairro - FATO FINAL - Municipio ,Município,Município - Código,UF - Sigla,RISP ,RMBH
129592,2019-019627412-001,1.0,FURTO CONSUMADO,2019.0,ABR,4.0,27/04/2019,SÁBADO,15:00:00,De 15:00 as 15:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,AEROPORTO,,AEROPORTO,"AEROPORTO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
129626,2019-019707960-001,1.0,FURTO CONSUMADO,2019.0,ABR,4.0,28/04/2019,DOMINGO,09:09:20,De 09:00 as 09:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CERAMICA,,CERAMICA,"CERAMICA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
129634,2019-019722880-001,1.0,FURTO CONSUMADO,2019.0,ABR,4.0,28/04/2019,DOMINGO,12:38:06,De 12:00 as 12:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SAO MATEUS,,SAO MATEUS,"SAO MATEUS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
129709,2019-019915172-001,1.0,FURTO CONSUMADO,2019.0,ABR,4.0,29/04/2019,SEGUNDA-FEIRA,15:25:01,De 15:00 as 15:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,MORRO DA GLORIA,,MORRO DA GLORIA,"MORRO DA GLORIA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
129769,2019-020074765-001,1.0,FURTO CONSUMADO,2019.0,ABR,4.0,30/04/2019,TERÇA-FEIRA,12:17:18,De 12:00 as 12:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
129917,2019-020508109-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,02/05/2019,QUINTA-FEIRA,19:57:54,De 19:00 as 19:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,IGNORADO,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,BOTANAGUA,,BOTANAGUA,"BOTANAGUA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
129970,2019-020635779-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,03/05/2019,SEXTA-FEIRA,15:42:52,De 15:00 as 15:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,MANOEL HONORIO,,MANOEL HONORIO,"MANOEL HONORIO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130150,2019-021076131-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,06/05/2019,SEGUNDA-FEIRA,13:38:51,De 13:00 as 13:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,JARDIM DE ALA,,JARDIM DE ALA,"JARDIM DE ALA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130336,2019-021544021-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,08/05/2019,QUARTA-FEIRA,21:42:06,De 21:00 as 21:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,SANTOS ANJOS,,SANTOS ANJOS,"SANTOS ANJOS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130414,2019-021731878-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,09/05/2019,QUINTA-FEIRA,22:24:06,De 22:00 as 22:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,GRANBERY,,GRANBERY,"GRANBERY, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130484,2019-021931069-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,10/05/2019,SEXTA-FEIRA,20:58:45,De 20:00 as 20:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,GRANBERY,,GRANBERY,"GRANBERY, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130508,2019-021990762-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,11/05/2019,SÁBADO,09:43:33,De 09:00 as 09:59,De 06:00 as 11:59,MOTOCICLETA,Veículos,FURTADO,OUTRAS MOTIVACOES/CAUSAS ,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,GRANJAS TRES MOINHOS,,GRANJAS TRES MOINHOS,"GRANJAS TRES MOINHOS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130531,2019-022049690-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,11/05/2019,SÁBADO,16:55:47,De 16:00 as 16:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SANTA HELENA,SANTA HELENA,SANTA HELENA,"SANTA HELENA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130594,2019-022207088-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,12/05/2019,DOMINGO,18:30:00,De 18:00 as 18:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTENARIO,,CENTENARIO,"CENTENARIO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130661,2019-022421121-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,13/05/2019,SEGUNDA-FEIRA,21:47:56,De 21:00 as 21:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,FONTESVILLE I,,FONTESVILLE I,"FONTESVILLE I, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130666,2019-022433204-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,13/05/2019,SEGUNDA-FEIRA,22:58:42,De 22:00 as 22:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,MORRO DA GLORIA,,MORRO DA GLORIA,"MORRO DA GLORIA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130688,2019-022496897-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,14/05/2019,TERÇA-FEIRA,11:23:08,De 11:00 as 11:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,QUINTA DAS AVENIDAS,,QUINTA DAS AVENIDAS,"QUINTA DAS AVENIDAS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130698,2019-022527818-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,14/05/2019,TERÇA-FEIRA,11:47:23,De 11:00 as 11:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,GRANBERY,,GRANBERY,"GRANBERY, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130721,2019-022612411-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,14/05/2019,TERÇA-FEIRA,21:42:44,De 21:00 as 21:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,LADEIRA,,LADEIRA,"LADEIRA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130733,2019-022651371-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,15/05/2019,QUARTA-FEIRA,06:30:00,De 06:00 as 06:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,INVÁLIDO,,DESCONHECIDO,"DESCONHECIDO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130921,2019-023046681-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,17/05/2019,SEXTA-FEIRA,10:54:09,De 10:00 as 10:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,ARAUJO,,ARAUJO,"ARAUJO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130948,2019-023107100-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,17/05/2019,SEXTA-FEIRA,16:23:39,De 16:00 as 16:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
130963,2019-023160506-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,17/05/2019,SEXTA-FEIRA,21:55:18,De 21:00 as 21:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131007,2019-023277490-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,18/05/2019,SÁBADO,18:33:28,De 18:00 as 18:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,MARILANDIA,,MARILANDIA,"MARILANDIA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131175,2019-023723080-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,21/05/2019,TERÇA-FEIRA,13:59:13,De 13:00 as 13:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEDIANTE FRAUDE,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,VALE VERDE,,VALE VERDE,"VALE VERDE, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131191,2019-023765864-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,21/05/2019,TERÇA-FEIRA,16:53:01,De 16:00 as 16:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,IPIRANGA,,IPIRANGA,"IPIRANGA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131219,2019-023827855-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,21/05/2019,TERÇA-FEIRA,22:59:42,De 22:00 as 22:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,LOCAL / ESTABELECIMENTO DE LAZER / CULTURA /,CLUBE SOCIAL / LAZER / ESPORTIVO,RUA,MONTE CASTELO,,MONTE CASTELO,"MONTE CASTELO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131246,2019-023890080-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,22/05/2019,QUARTA-FEIRA,11:05:51,De 11:00 as 11:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131271,2019-023954710-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,22/05/2019,QUARTA-FEIRA,16:53:01,De 16:00 as 16:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,GRANBERY,,GRANBERY,"GRANBERY, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131323,2019-024084092-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,23/05/2019,QUINTA-FEIRA,11:33:35,De 11:00 as 11:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,LADEIRA,,LADEIRA,"LADEIRA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131356,2019-024188372-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,23/05/2019,QUINTA-FEIRA,20:39:57,De 20:00 as 20:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SANTA HELENA,,SANTA HELENA,"SANTA HELENA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131361,2019-024211970-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,23/05/2019,QUINTA-FEIRA,21:50:00,De 21:00 as 21:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,INDUSTRIAL,,INDUSTRIAL,"INDUSTRIAL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131416,2019-024349550-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,24/05/2019,SEXTA-FEIRA,17:43:27,De 17:00 as 17:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SANTA HELENA,,SANTA HELENA,"SANTA HELENA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131427,2019-024399180-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,24/05/2019,SEXTA-FEIRA,21:33:25,De 21:00 as 21:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,IGNORADO,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,PRACA,BENFICA,,BENFICA,"BENFICA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131451,2019-024451583-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,25/05/2019,SÁBADO,11:06:17,De 11:00 as 11:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,BONFIM,,BONFIM,"BONFIM, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131481,2019-024536027-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,25/05/2019,SÁBADO,18:00:00,De 18:00 as 18:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,GRANJAS BETHEL,,GRANJAS BETHEL,"GRANJAS BETHEL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131507,2019-024597325-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,26/05/2019,DOMINGO,11:32:40,De 11:00 as 11:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131596,2019-024794521-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,27/05/2019,SEGUNDA-FEIRA,15:34:32,De 15:00 as 15:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,CONHECIMENTO TECNICO ESPECIFICO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131764,2019-025231442-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,29/05/2019,QUARTA-FEIRA,18:35:00,De 18:00 as 18:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,GRANBERY,,GRANBERY,"GRANBERY, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131822,2019-025404414-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,30/05/2019,QUINTA-FEIRA,17:39:14,De 17:00 as 17:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,NOVA GERMANIA,,NOVA GERMANIA,"NOVA GERMANIA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131877,2019-025558102-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,31/05/2019,SEXTA-FEIRA,15:05:29,De 15:00 as 15:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,OUTRAS MOTIVACOES/CAUSAS ,ARROMBAMENTO/ROMPIMENTO DE OBSTACULO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SANTA CRUZ,,SANTA CRUZ,"SANTA CRUZ, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131879,2019-025563462-001,1.0,FURTO CONSUMADO,2019.0,MAI,5.0,31/05/2019,SEXTA-FEIRA,16:32:24,De 16:00 as 16:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,IPIRANGA,,IPIRANGA,"IPIRANGA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
131993,2019-025834394-001,1.0,FURTO CONSUMADO,2019.0,JUN,6.0,02/06/2019,DOMINGO,14:52:32,De 14:00 as 14:59,De 12:00 as 17:59,CAMINHONETE,Veículos,FURTADO,VANTAGEM ECONOMICA,ABUSO DE CONFIANCA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
132137,2019-026192980-001,1.0,FURTO CONSUMADO,2019.0,JUN,6.0,04/06/2019,TERÇA-FEIRA,14:30:55,De 14:00 as 14:59,De 12:00 as 17:59,REBOQUE,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,BARBOSA LAGE,,BARBOSA LAGE,"BARBOSA LAGE, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
132187,2019-026292488-001,1.0,FURTO CONSUMADO,2019.0,JUN,6.0,04/06/2019,TERÇA-FEIRA,21:39:31,De 21:00 as 21:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SANTA HELENA,,SANTA HELENA,"SANTA HELENA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
132220,2019-026361756-001,1.0,FURTO CONSUMADO,2019.0,JUN,6.0,05/06/2019,QUARTA-FEIRA,11:27:20,De 11:00 as 11:59,De 06:00 as 11:59,REBOQUE,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),IMOVEL RURAL,SITIO,SITIO,INVÁLIDO,,DESCONHECIDO,"DESCONHECIDO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
132357,2019-026799700-001,1.0,FURTO CONSUMADO,2019.0,JUN,6.0,07/06/2019,SEXTA-FEIRA,11:17:02,De 11:00 as 11:59,De 06:00 as 11:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
132382,2019-026881094-001,1.0,FURTO CONSUMADO,2019.0,JUN,6.0,07/06/2019,SEXTA-FEIRA,18:45:16,De 18:00 as 18:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SANTA LUZIA,,SANTA LUZIA,"SANTA LUZIA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
132404,2019-026961531-001,1.0,FURTO CONSUMADO,2019.0,JUN,6.0,08/06/2019,SÁBADO,08:27:15,De 08:00 as 08:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,JARDIM CACHOEIRA,,JARDIM CACHOEIRA,"JARDIM CACHOEIRA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
132417,2019-026991960-001,1.0,FURTO CONSUMADO,2019.0,JUN,6.0,08/06/2019,SÁBADO,14:35:25,De 14:00 as 14:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,JARDIM GAUCHO,,JARDIM GAUCHO,"JARDIM GAUCHO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
132421,2019-026997760-001,1.0,FURTO CONSUMADO,2019.0,JUN,6.0,08/06/2019,SÁBADO,14:51:07,De 14:00 as 14:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
132433,2019-027047789-001,1.0,FURTO CONSUMADO,2019.0,JUN,6.0,08/06/2019,SÁBADO,21:03:15,De 21:00 as 21:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,NOVA ERA,,NOVA ERA,"NOVA ERA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
132437,2019-027067119-001,1.0,FURTO CONSUMADO,2019.0,JUN,6.0,08/06/2019,SÁBADO,22:30:21,De 22:00 as 22:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,ABUSO DE CONFIANCA,ESTABELECIMENTO COMERCIAL / SERVICOS,POSTO DE COMBUSTIVEL,RUA,MARIANO PROCOPIO,,MARIANO PROCOPIO,"MARIANO PROCOPIO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
132459,2019-027132354-001,1.0,FURTO CONSUMADO,2019.0,JUN,6.0,09/06/2019,DOMINGO,14:33:07,De 14:00 as 14:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,LADEIRA,,LADEIRA,"LADEIRA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
132587,2019-027515588-001,1.0,FURTO CONSUMADO,2019.0,JUN,6.0,11/06/2019,TERÇA-FEIRA,15:17:03,De 15:00 as 15:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,RESIDENCIA UNIFAMILIAR URBANA,CASA,RUA,INVÁLIDO,,DESCONHECIDO,"DESCONHECIDO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
